municipio_origem,municipio_destino,destino_eh_batalhao_candidato,distance_km,duration_min
Aurora,Amontada,False,619.3382,544.601667
Aurora,Aquiraz,False,453.1985,387.928333
Aurora,Aracati,False,366.0477,307.526667
Aurora,Aracoiaba,False,369.1486,349.233333
Aurora,Aurora,False,0.0,0.0
Aurora,Barbalha,False,81.9262,70.69
Aurora,Baturité,False,376.6411,356.175
Aurora,Beberibe,False,402.3449,338.666667
Aurora,Bela Cruz,False,681.8398,604.176667
Aurora,Boa Viagem,False,297.4584,298.788333
Aurora,Brejo Santo,False,92.6895,77.033333
Aurora,Camocim,False,646.6465,650.288333
Aurora,Campos Sales,False,216.476,188.313333
Aurora,Canindé,False,383.7914,372.021667
Aurora,Caririaçu,False,43.3184,37.033333
Aurora,Cascavel,False,420.1886,354.848333
Aurora,Caucaia,True,475.7939,410.25
Aurora,Cedro,False,70.7378,62.076667
Aurora,Chorozinho,False,398.0198,335.603333
Aurora,Crateús,True,377.2118,366.905
Aurora,Crato,False,81.8868,65.905
Aurora,Cruz,False,695.4273,613.595
Aurora,Eusébio,True,453.5985,389.823333
Aurora,Forquilha,False,497.7889,515.416667
Aurora,Fortaleza,False,462.9372,402.623333
Aurora,Granja,False,621.2886,631.015
Aurora,Guaiúba,False,449.7543,387.605
Aurora,Guaraciaba do Norte,False,509.0829,489.836667
Aurora,Horizonte,True,421.8362,369.68
Aurora,Ibiapina,False,545.7938,524.411667
Aurora,Icapuí,False,372.5462,310.441667
Aurora,Icó,False,86.2438,74.405
Aurora,Iguatu,False,124.992,112.378333
Aurora,Independência,False,327.45,319.888333
Aurora,Ipu,False,484.3214,466.841667
Aurora,Ipueiras,False,458.996,442.815
Aurora,Itaitinga,False,437.6662,374.091667
Aurora,Itapajé,False,582.3723,503.51
Aurora,Itapipoca,True,588.6358,514.961667
Aurora,Itarema,False,662.2591,588.761667
Aurora,Jaguaribe,False,153.0855,124.245
Aurora,Jaguaruana,False,343.9604,283.423333
Aurora,Jardim,False,119.0792,105.4
Aurora,Juazeiro do Norte,True,70.9135,57.486667
Aurora,Lavras da Mangabeira,False,27.3261,30.371667
Aurora,Limoeiro do Norte,False,278.078,223.715
Aurora,Maracanaú,False,463.3514,396.788333
Aurora,Maranguape,False,465.5099,399.068333
Aurora,Marco,False,672.8804,594.4
Aurora,Massapê,False,535.794,552.276667
Aurora,Mauriti,False,83.9188,73.431667
Aurora,Milagres,False,71.3556,61.256667
Aurora,Missão Velha,False,47.3768,71.751667
Aurora,Mombaça,False,210.7818,203.428333
Aurora,Morada Nova,False,297.598,239.256667
